id,name,type,status,source,notes,nickname,card_note,card_note_updated_at,arrival_type,start_date,cuttings_available,cuttings_updated_at
c-calamondin,Calamondin,Calamondin,Aktiv,,,,,,Gåva,,,
c-limon-1,Citrus limon 1,Citron,Aktiv,Bauhaus,,,,,Köpt planta,,,
c-limon-2,Citrus limon 2,Citron,Aktiv,Bauhaus,,,,,Köpt planta,,,
c-okand-citrusstickling,Citrusstickling,Okänd citrus,Aktiv,,,,,,Gåva,,,
c-kaffirlime,Kaffirlime – Citrus hystrix,Kaffirlime,Aktiv,Vivai Miano,,,,,Köpt planta,,,
c-kumquat-1,Kumquat 1,Kumquat,Aktiv,Vivai Miano,,,,,Köpt planta,,,
c-kumquat-2,Kumquat 2,Kumquat,Aktiv,Vivai Miano,,,,,Köpt planta,,,
c-limequat,Limequat,Limequat,Aktiv,Vivai Miano,,,,,Köpt planta,,,
c-pomelo,Pomelo,Citrus maxima / pomelo,Aktiv,Plantagen,Inköpspris: 200 kr,,,,Köpt planta,2026-08-13,,
c-rod-fingerlime,Röd fingerlime – Citrus australasica,Fingerlime,Aktiv,Vivai Miano,,,,,Köpt planta,,,
