plant_id,date,type,file,label,day,photo_id
HIB-001,2026-08-13,blomma,bilder/hibiskusar/HIB-001_synk-6375bd895a_2026-08-13_blomma.jpg,2026-08-13 · blomma,,HPH-8650E17E98F0
HIB-001,2026-08-13,hel,bilder/hibiskusar/HIB-001_synk-da167d7f48_2026-08-13_hel.jpg,2026-08-13 · hel,,HPH-CFA6DA907BE7
HIB-001,2026-08-14,blomma,bilder/hibiskusar/HIB-001_synk-c157b46745_2026-08-14_blomma.jpg,2026-08-14 · blomma,,HPH-B2B058AC22DA
HIB-002,2026-08-13,blomma,bilder/hibiskusar/HIB-002_synk-8f3fe5a3db_2026-08-13_blomma.jpg,2026-08-13 · blomma,,HPH-FBCF9B19D30B
HIB-002,2026-08-13,hel,bilder/hibiskusar/HIB-002_synk-6700aed7df_2026-08-13_hel.jpg,2026-08-13 · hel,,HPH-0C1969F74497
PL-H01-A,2026-05-24,hel,bilder/hibiskusar/PL-H01-A_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-684E08324FFB
PL-H01-A,2026-06-07,hel,bilder/hibiskusar/PL-H01-A_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-B5C6DE87E9AF
PL-H01-A,2026-08-15,hel,bilder/hibiskusar/PL-H01-A_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-C47FF7A05DCF
PL-H01-B,2026-05-24,hel,bilder/hibiskusar/PL-H01-B_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-7A50F87CE4F2
PL-H01-B,2026-06-07,hel,bilder/hibiskusar/PL-H01-B_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-82828D9D1B58
PL-H01-B,2026-08-15,hel,bilder/hibiskusar/PL-H01-B_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-DD4D6125F070
PL-H01-B,2026-08-17,beskuren,bilder/hibiskusar/PL-H01-B_synk-d5cff0ca0f_2026-08-17_beskuren.jpg,2026-08-17 · beskuren,274,HPH-96527B48632B
PL-H01-B,2026-08-17,stickling,bilder/hibiskusar/PL-H01-B_synk-61c1556416_2026-08-17_stickling.jpg,2026-08-17 · stickling,274,HPH-5B1B88FC77B6
