assessment_id,layer,slot,trait_id,value_status
FA-HIB-001-3af7febc46bc,CAN_CONTRIBUTE,COLOR_TRANSITION,transition.soft,RECORDED
FA-HIB-001-3af7febc46bc,CAN_CONTRIBUTE,EYE_SIZE,eye.small,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,COLOR_CLARITY,clarity.muted,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,COLOR_PATTERN,pattern.radial,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,COLOR_PATTERN,pattern.veined,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,COLOR_TEMPERATURE,temperature.mixed,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,COLOR_TRANSITION,transition.soft,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,EYE_COLOR,color.magenta,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,EYE_SIZE,eye.small,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,FORM,form.single,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,PETAL_EDGE,edge.wavy,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,PRIMARY_COLOR,color.lavender,RECORDED
FA-HIB-001-3af7febc46bc,OBSERVED,SECONDARY_COLOR,color.white,RECORDED
FA-HIB-001-3af7febc46bc,WATCH,EYE_COLOR,color.magenta,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,COLOR_CLARITY,clarity.muted,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,COLOR_PATTERN,pattern.even,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,COLOR_TEMPERATURE,temperature.cool,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,COLOR_TRANSITION,transition.medium,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,EYE_COLOR,color.red,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,EYE_SIZE,eye.medium,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,FORM,form.single,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,PETAL_EDGE,edge.strongly_ruffled,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,PRIMARY_COLOR,color.lavender,RECORDED
FA-HIB-001-55f7e0a0f6e7,OBSERVED,SECONDARY_COLOR,,NONE
FA-HIB-002-5b6b2e034605,CAN_CONTRIBUTE,COLOR_TEMPERATURE,temperature.warm,RECORDED
FA-HIB-002-5b6b2e034605,CAN_CONTRIBUTE,COLOR_TRANSITION,transition.soft,RECORDED
FA-HIB-002-5b6b2e034605,CAN_CONTRIBUTE,PRIMARY_COLOR,color.yellow,RECORDED
FA-HIB-002-5b6b2e034605,CAN_CONTRIBUTE,SECONDARY_COLOR,color.orange,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,COLOR_CLARITY,clarity.clear,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,COLOR_PATTERN,pattern.radial,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,COLOR_TEMPERATURE,temperature.warm,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,COLOR_TRANSITION,transition.soft,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,EYE_COLOR,color.red,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,EYE_SIZE,eye.medium,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,FORM,form.single,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,PETAL_EDGE,edge.wavy,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,PRIMARY_COLOR,color.yellow,RECORDED
FA-HIB-002-5b6b2e034605,OBSERVED,SECONDARY_COLOR,color.orange,RECORDED
