trait_id,domain,label,definition,status,canonical_trait_id
clarity.clear,CLARITY,Klar,Klar och relativt ren färgkaraktär,ACTIVE,
clarity.muted,CLARITY,Dämpad,Dämpad eller nedtonad färgkaraktär,ACTIVE,
color.apricot,COLOR,Aprikos,Aprikosfärgad ton,ACTIVE,
color.black,COLOR,Svart,Svart eller nästintill svart färg,ACTIVE,
color.bronze,COLOR,Brons,Bronsfärgad ton,ACTIVE,
color.brown,COLOR,Brun,Brun färg,ACTIVE,
color.burgundy,COLOR,Vinröd,Djupt vinröd ton,ACTIVE,
color.copper,COLOR,Koppar,Kopparfärgad ton,ACTIVE,
color.cream,COLOR,Creme,Cremefärgad ton,ACTIVE,
color.golden,COLOR,Gyllene,Gyllene gul ton,ACTIVE,
color.green,COLOR,Grön,Grön färg,ACTIVE,
color.grey,COLOR,Grå,Grå färg eller tydlig gråton,ACTIVE,
color.lavender,COLOR,Lavendel,Ljus lavendellila ton,ACTIVE,
color.magenta,COLOR,Magenta,Magentaröd ton,ACTIVE,
color.orange,COLOR,Orange,Orange färg,ACTIVE,
color.pink,COLOR,Rosa,Rosa färg,ACTIVE,
color.purple,COLOR,Lila,Lila färg,ACTIVE,
color.red,COLOR,Röd,Röd färg,ACTIVE,
color.rust,COLOR,Rost,Rostfärgad ton,ACTIVE,
color.terracotta,COLOR,Terrakotta,Terrakottafärgad ton,ACTIVE,
color.white,COLOR,Vit,Vit färg,ACTIVE,
color.yellow,COLOR,Gul,Gul färg,ACTIVE,
edge.ruffled,PETAL_EDGE,Rufflad,Tydligt rufflad kronbladskant,ACTIVE,
edge.smooth,PETAL_EDGE,Rak / slät,Rak eller slät kronbladskant,ACTIVE,
edge.strongly_ruffled,PETAL_EDGE,Kraftigt rufflad,Kraftigt veckad eller rufflad kronbladskant,ACTIVE,
edge.wavy,PETAL_EDGE,Vågig,Vågformad kronbladskant,ACTIVE,
eye.large,EYE_SIZE,Stort,Eyet upptar en stor del av blomman,ACTIVE,
eye.medium,EYE_SIZE,Medel,Eyet upptar en medelstor del av blomman,ACTIVE,
eye.none,EYE_SIZE,Saknas,Ingen avgränsad mittcirkel syns,ACTIVE,
eye.small,EYE_SIZE,Litet,Eyet upptar en liten del av blomman,ACTIVE,
form.double,FORM,Dubbel,Tätt fylld blomma med flera lager kronblad,ACTIVE,
form.semidouble,FORM,Semidubbel,Fler kronblad än singel men ett synligt centrum,ACTIVE,
form.single,FORM,Singel,En enkel krans kronblad,ACTIVE,
pattern.edged,PATTERN,Kantfärgad,Avvikande färg längs kronbladskanten,ACTIVE,
pattern.even,PATTERN,Jämn,Färgen är jämnt fördelad,ACTIVE,
pattern.flamed,PATTERN,Flammig,Flamlik färgspridning,ACTIVE,
pattern.marble,PATTERN,Marmorerad,Oregelbundet marmorerad färgspridning,ACTIVE,
pattern.radial,PATTERN,Radiell,Färgen sprids radiellt från centrum,ACTIVE,
pattern.sooty,PATTERN,Sotig,Mörk eller grå sotlik färgspridning,ACTIVE,
pattern.speckled,PATTERN,Stänkt,Prickar eller stänk av avvikande färg,ACTIVE,
pattern.veined,PATTERN,Ådrad,Tydliga färgade ådror,ACTIVE,
pattern.zoned,PATTERN,Zonad / ringformad,Färgen bildar en zon eller ring,ACTIVE,
temperature.cool,TEMPERATURE,Kall,Övervägande kall färgtemperatur,ACTIVE,
temperature.mixed,TEMPERATURE,Blandad,Tydligt både kall och varm färgtemperatur,ACTIVE,
temperature.neutral,TEMPERATURE,Neutral,Varken tydligt kall eller varm,ACTIVE,
temperature.warm,TEMPERATURE,Varm,Övervägande varm färgtemperatur,ACTIVE,
transition.hard,TRANSITION,Hård,Tydligt avgränsad färgövergång från centrum mot kronblad,ACTIVE,
transition.medium,TRANSITION,Mellan,Delvis gradvis färgövergång från centrum mot kronblad,ACTIVE,
transition.none,TRANSITION,Ingen tydlig övergång,Ingen tydlig färgövergång kan urskiljas,ACTIVE,
transition.soft,TRANSITION,Mjuk,Gradvis mjuk färgövergång från centrum mot kronblad,ACTIVE,
