id,status,nickname,arrival_type,source,start_date,breeding_selected,mother,father,card_note,card_note_updated_at,cuttings_available,cuttings_updated_at,card_image,card_crop_x,card_crop_y,card_image_updated_at
HIB-001,Aktiv,Cato,Köpt planta,Plantagen,2026-08-13,nej,,,,,,,bilder/hibiskusar/HIB-001_synk-c157b46745_2026-08-14_blomma.jpg,32.896,57.4362,2026-08-14T15:33:20.442Z
HIB-002,Aktiv,Bemita,Köpt planta,Plantagen,2026-08-13,nej,,,,,,,bilder/hibiskusar/HIB-002_synk-8f3fe5a3db_2026-08-13_blomma.jpg,50.0972,55.7461,2026-08-14T15:33:05.920Z
PL-H01-A,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-B,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-C,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-D,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-G,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-H,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-I,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-J,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-K,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-L,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-M,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-N,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-O,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-Q,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H01-R,Ej blommat / under utvärdering,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H02-A-01,Grodd,,Frö,Rareplants.eu,,nej,okänd,okänd,,,,,,,,
PL-H02-B-01,Grodd,,Frö,Rareplants.eu,,nej,012,030,,,,,,,,
PL-H02-C-01,Grodd,,Frö,Rareplants.eu,,nej,030,041,,,,,,,,
PL-H02-C-02,Grodd,,Frö,Rareplants.eu,,nej,030,041,,,,,,,,
PL-H02-C-03,Grodd,,Frö,Rareplants.eu,,nej,030,041,,,,,,,,
PL-H02-D-01,Grodd,,Frö,Rareplants.eu,,nej,012,okänd,,,,,,,,
PL-H02-D-02,Grodd,,Frö,Rareplants.eu,,nej,012,okänd,,,,,,,,
PL-H02-D-03,Grodd,,Frö,Rareplants.eu,,nej,012,okänd,,,,,,,,
