seed_lot_id,species_group,taxon,code,supplier,acquired_date,seeds_original,seeds_remaining,price,currency,source_cross,notes,created_at,purchase_name,seller,reference_image
LABL-sta029-hystrix-20260916,Stapelia,Huernia hystrix,F01,SuccSeed,,20,15,36,SEK,,Historisk referens: STA-029. Ordernummer: 278352062. Leverantörens artikelnummer: 6867. Köpta paket: 2. Frön per paket: 10.,2026-09-16T23:50:00+02:00,,,bilder/labbet/LABL-sta029-hystrix-20260916_synk-3fa742d3e5_2026-09-20_referens.jpg
LABL-exotic-hystrix-20260921,Stapelia,Huernia hystrix — sp. nova,F05,Exotic Plants,2026-09-21,3,3,,,,,2026-09-22T05:57:53+02:00,,,bilder/labbet/LABL-exotic-hystrix-20260921_synk-dfe379e9be_2026-09-22_referens.jpg
LABL-sta030-zebrina-20260916,Stapelia,Huernia zebrina,F02,SuccSeed,,10,5,18,SEK,,Historisk referens: STA-030. Ordernummer: 278352062. Leverantörens artikelnummer: 11354. Köpta paket: 1. Frön per paket: 10.,2026-09-16T23:50:00+02:00,,,bilder/labbet/LABL-sta030-zebrina-20260916_synk-405d1a6b68_2026-09-20_referens.jpg
LABL-sta033-variegata-20260916,Stapelia,Orbea variegata,F03,eBay,2024-11-02,200,195,8.99,EUR,,Historisk referens: STA-033. Ordernummer: 26-12251-59065. eBay Item ID: 185401812050.,2026-09-16T23:50:00+02:00,Stapelia variegata,vendoesvendotutto,bilder/labbet/LABL-sta033-variegata-20260916_synk-df51887dad_2026-09-20_referens.jpg
LABL-exotic-flavopurpurea-20260921,Stapelia,Stapelia flavopurpurea,F09,Exotic Plants,2026-09-21,5,5,,,,,2026-09-22T05:57:53+02:00,,,bilder/labbet/LABL-exotic-flavopurpurea-20260921_synk-a4eb87fac5_2026-09-22_referens.jpg
LABL-sta021-gigantea-20260916,Stapelia,Stapelia gigantea,F04,SuccSeed,,40,35,36,SEK,,Historisk referens: STA-021. F04 är den kanoniska SuccSeed-fröpåsen för Stapelia gigantea. Ordernummer: 278352062. Leverantörens artikelnummer: 10172. Köpta paket: 2. Frön per paket: 20.,2026-09-16T23:50:00+02:00,,,bilder/labbet/LABL-sta021-gigantea-20260916_synk-1052e98928_2026-09-20_referens.jpg
LABL-exotic-gigantea-20260921,Stapelia,Stapelia gigantea,F10,Exotic Plants,2026-09-21,5,5,,,,,2026-09-22T05:57:53+02:00,,,
LABL-exotic-paniculata-scitula-20260921,Stapelia,Stapelia paniculata subsp. scitula,F06,Exotic Plants,2026-09-21,5,5,,,,,2026-09-22T05:57:53+02:00,,,bilder/labbet/LABL-exotic-paniculata-scitula-20260921_synk-1388aeaba8_2026-09-22_referens.jpg
LABL-exotic-stapelia-sp-20260921,Stapelia,Stapelia sp.,F08,Exotic Plants,2026-09-21,5,5,,,,,2026-09-22T05:57:53+02:00,,,bilder/labbet/LABL-exotic-stapelia-sp-20260921_synk-4d8b48259c_2026-09-22_referens.jpg
LABL-exotic-tridentea-gemmiflora-20260921,Stapelia,Tridentea gemmiflora,F12,Exotic Plants,2026-09-21,3,3,,,,,2026-09-22T05:57:53+02:00,Stapelia gemmiflora,,bilder/labbet/LABL-exotic-tridentea-gemmiflora-20260921_synk-f566bff82a_2026-09-22_referens.jpg
LABL-exotic-tromotriche-aperta-20260921,Stapelia,Tromotriche aperta,F07,Exotic Plants,2026-09-21,2,2,,,,,2026-09-22T05:57:53+02:00,Stapelia aperta,,bilder/labbet/LABL-exotic-tromotriche-aperta-20260921_synk-fa7d9bb8f7_2026-09-22_referens.jpg
LABL-exotic-tromotriche-revoluta-20260921,Stapelia,Tromotriche revoluta,F11,Exotic Plants,2026-09-21,5,5,,,,,2026-09-22T05:57:53+02:00,Stapelia revoluta,,bilder/labbet/LABL-exotic-tromotriche-revoluta-20260921_synk-418b361138_2026-09-22_referens.jpg
LABL-75006ac6e20348ea8e57b6eab448c5b6,Udda,Cumarinia odorata,F13,SuccSeed,2026-09-09,20,20,18,SEK,,,2026-09-24T16:25:48.927Z,"Cumarinia odorata (Tamaulipas, SLP)",,bilder/labbet/LABL-75006ac6e20348ea8e57b6eab448c5b6_synk-9601903c24_2026-09-24_referens.jpg
