id,date,type,note
SP-003,2026-06-25,Sådd,Frön blötlagda 24 h med rökpapper före sådd.
SP-003,2026-07-04,Grodd,Första synliga grodd.
SP-007,2026-07-26,Plantering,Mottagen och planterad samma dag.
p-creamery,2026-07-04,Blomning,Ny blommbild importerad och gammal knoppbild ersatt.
p-prince-of-orange,2026-07-01,Blomning,Ny blommbild dokumenterad.
PL-H01-A,2025-11-16,Sådd,Surprise Pack såddes som del av PL-H01-partiet.
PL-H02-B-01,2026-07-06,Grodd,Första individuella plantan från delparti B.
PL-H02-D-01,2026-07-06,Grodd,Första individuella plantan från delparti D.
PL-H02-C-01,2026-07-06,Grodd,
PL-H02-A-01,2026-07-06,Grodd,
PL-H02-D-02,2026-07-06,Grodd,
PL-H02-D-03,2026-07-23,Grodd,
PL-H02-C-02,2026-07-27,Grodd,Individuell planta från delparti C dokumenterad.
PL-H02-C-03,2026-07-31,Grodd,Individuell planta från delparti C dokumenterad.
SP-002,2026-08-06,Toppad/beskuren,"Alla plantor friserade
Formade efter individ
Stora inåtvända blad borttagna
Basen städad
Bredd anpassad till nuvarande krukstorlek
Bad och avrinning efter beskä"
PL-H01-B,2025-11-16,Sådd,
PL-H01-C,2025-11-16,Sådd,
PL-H01-D,2025-11-16,Sådd,
PL-H01-G,2025-11-16,Sådd,
PL-H01-H,2025-11-16,Sådd,
PL-H01-I,2025-11-16,Sådd,
PL-H01-J,2025-11-16,Sådd,
PL-H01-K,2025-11-16,Sådd,
PL-H01-L,2025-11-16,Sådd,
PL-H01-M,2025-11-16,Sådd,
PL-H01-N,2025-11-16,Sådd,
PL-H01-O,2025-11-16,Sådd,
PL-H01-Q,2025-11-16,Sådd,
PL-H01-R,2025-11-16,Sådd,
PL-H02-A-01,2026-06-25,Sådd,
PL-H02-B-01,2026-06-25,Sådd,
PL-H02-C-01,2026-06-25,Sådd,
PL-H02-C-02,2026-06-25,Sådd,
PL-H02-C-03,2026-06-25,Sådd,
PL-H02-D-01,2026-06-25,Sådd,
PL-H02-D-02,2026-06-25,Sådd,
PL-H02-D-03,2026-06-25,Sådd,
p-torento,2026-08-08,Avslutad/död,
SP-008,2026-08-10,Sådd,Skapad från Ankomstsamtal.
