id,record_kind,collection_id,name,parentage,type,specimen_count,tags,status,scent,source,notes,nickname,card_note,card_note_updated_at,arrival_type,start_date,seed_lot_id,breeding_selected,cuttings_available,cuttings_updated_at,card_image,card_crop_x,card_crop_y,card_image_updated_at,crossing_id,seedling_label,label_number,sow_batch_id,batch_individual_number,supplier,seller,purchase_name,order_number,article_number,purchase_date,arrival_date,purchase_price_sek,purchase_price_original,purchase_currency,purchase_exchange_rate,purchase_exchange_rate_note,purchase_note
p-acetosum,COLLECTION,,P. acetosum,,Vildpelargon,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-acetosum_synk-fa0da0f811_2026-07-17_blomma.jpg,52.2352,50.676,2026-08-14T16:06:44.526Z,,,PEL-001,,,,,,,,,,,,,,,
p-australe-1,COLLECTION,,P. australe,,Vildpelargon,2,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-002,,,,,,,,,,,,,,,
p-bowkeri-silver-leaf,COLLECTION,,P. bowkeri ‘Silver Leaf’,,Vildpelargon,1,,,,"Ralf Paul Pelargonien, Tyskland","Pelargonium bowkeri ‘Silver Leaf’. Art: Pelargonium bowkeri. Typ: vildart/urval. Geofyt. Silvergrått finflikigt bladverk. Extremt fransiga blommor, blekgula/vita/rosa med violetta inslag.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-bowkeri-silver-leaf_synk-83844cb492_2026-09-01_hel.jpg,71.8609,49.2365,2026-09-01T05:52:03.216Z,,,PEL-005,,,Ralf Paul Pelargonien,,Pelargonium bowkeri silver leaf,1788,00027,2026-09-01,,,22,EUR,,,
p-cotyledonis-1,COLLECTION,,P. cotyledonis,,Vildpelargon,2,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-007,,,,,,,,,,,,,,,
p-dimeierii-selma,COLLECTION,,P. dimeierii ‘Selma’,P. lobatum × P. fulgidum,Hybrid,1,,,,"Ralf Paul Pelargonien, Tyskland",Pelargonium dimeierii ‘Selma’. Typ: hybrid. Säljarens registrerade namn: P. dimeierii ‘Selma’. Mycket långa tunna blomstänglar och mörkt röda blommor.,,,,Köpt planta,,,nej,,,bilder/pelargoner/p-dimeierii-selma_synk-9bce2214fe_2026-09-01_hel.jpg,39.5865,46.7686,2026-09-01T05:52:17.450Z,,,PEL-010,,,Ralf Paul Pelargonien,,Pelargonium dimeierii 'Selma',1788,00078,2026-09-01,,,15,EUR,,,
p-gibbosum-1,COLLECTION,,P. gibbosum,,Vildpelargon,5,,Bekräftad,Kvällsdoftande / kryddigt-balsamisk,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,Doft: amaretto/mandel + tydlig lime. Nattdoftande.,2026-09-01T20:00:27.130Z,Köpt planta,,,nej,ja,2026-08-13T09:17:18.390Z,,,,,,,PEL-013,,,,,,,,,,,,,,,
p-gibbosum-anethifolium,COLLECTION,,P. gibbosum × anethifolium,,Primärhybrid,1,,,,"Ralf Paul Pelargonien, Tyskland",Pelargonium gibbosum × anethifolium. Föräldrar: P. gibbosum × P. anethifolium. Gibbosum-hybrid med finare/flikigare bladverk och rosa–ljusa blommor.,,,,Köpt planta,,,nej,,,,,,,,,PEL-015,,,Ralf Paul Pelargonien,,Pelargonium gibbosum X anethifolium,1788,00100,2026-09-01,,,10,EUR,,,
p-gibbosum-maroon-1,COLLECTION,,P. gibbosum ‘Maroon’,,Vildpelargon,2,,Bekräftad,Kvällsdoftande / kryddigt-balsamisk,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-gibbosum-maroon-1_synk-c5d1c5c02a_2026-08-25_blomma.jpg,52.5267,56.9292,2026-08-25T12:29:14.282Z,,,PEL-016,,,,,,,,,,,,,,,
p-laxum-1,COLLECTION,,P. laxum,,Vildpelargon,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-018,,,,,,,,,,,,,,,
p-magenteum,COLLECTION,,P. magenteum,,Vildpelargon,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-magenteum_synk-f66141400c_2026-08-01_blomma.jpg,47.7648,44.2539,2026-08-14T16:07:17.774Z,,,PEL-020,,,,,,,,,,,,,,,
p-odoratissimum-1,COLLECTION,,P. odoratissimum,,Doftpelargon,1,,Bekräftad,Äpple / frisk doft,Sune Trygg,Doftpelargon med äppellik/frisk doft. Doftpelargon och doftande vildart.,,,,Köpt planta,,,nej,,,,,,,,,PEL-022,,,,,,,,,,,,,,,
p-sidoides,COLLECTION,,P. sidoides,,Vildpelargon,1,,Bekräftad,Svag / örtig,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-sidoides_synk-0e0577ba2f_2026-08-05_blomma.jpg,52.0408,26.5085,2026-08-14T16:07:27.279Z,,,PEL-025,,,,,,,,,,,,,,,
p-triffidum,COLLECTION,,P. triffidum,,Vildpelargon,1,,Bekräftad,,Sune Trygg,Vild art. Etiketten anger P. triffidum.,,,,Köpt planta,,,nej,,,,,,,,,PEL-027,,,,,,,,,,,,,,,
p-caffrum-diana,COLLECTION,,P. × caffrum ‘Diana’,,Primärhybrid,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-caffrum-diana_synk-b1d8c54af2_2026-08-01_blomma.jpg,50.5831,37.6627,2026-08-14T16:07:36.835Z,,,PEL-006,,,,,,,,,,,,,,,
p-bontrosai-1,COLLECTION,,P. ‘Bontrosai’,,Doftpelargon,2,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-003,,,,,,,,,,,,,,,
p-bothams-surprise-1,COLLECTION,,P. ‘Botham Surprise’,,Brokbladig pelargon,2,,Bortgiven,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,Till Marie,2026-08-27T15:55:43.307Z,Köpt planta,,,nej,nej,2026-09-13T08:59:50+02:00,,,,,,,PEL-004,,,,,,,,,,,,,,,
p-creamery,COLLECTION,,P. ‘Creamery’,,Zonalpelargon,1,,Bortgiven,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,Till Marie,2026-08-27T15:55:49.490Z,Köpt planta,,,nej,nej,2026-09-13T08:59:50+02:00,bilder/pelargoner/p-creamery_2026-07-04_blomma.jpg,51.8465,2.19705,2026-08-14T16:33:34.193Z,,,PEL-008,,,,,,,,,,,,,,,
