id,genus,species,infraspecific_taxon,full_botanical_name,short_name,supplier_purchase_name,accession_field_number,provenance_location,accepted_name_or_synonym,supplier,order_number,acquisition_type,purchase_date,arrival_date,sown_date,germination_date,status,expected_scent,own_scent_observation,scent_strength,scent_description,scent_distance,scent_veto,package_quantity,notes,card_note,card_note_updated_at,cuttings_available,cuttings_updated_at,card_image,card_crop_x,card_crop_y,card_image_updated_at,arrival_type,start_date,purchase_price,purchase_currency,purchase_quantity,original_seed_count,seed_lot_id,seller,purchase_name,article_number,purchase_price_sek,purchase_price_original,purchase_exchange_rate,purchase_exchange_rate_note,purchase_note
STA-005,Duvalia,sulcata,subsp. seminuda,Duvalia sulcata subsp. seminuda,D. sulcata subsp. seminuda,Duvalia sulcata ssp. seminuda,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,5.11,EUR,1,,,,Duvalia sulcata ssp. seminuda,,60,5.11,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-011,Echidnopsis,cereiformis,,Echidnopsis cereiformis,E. cereiformis,Echidnopsis cereiformis (Brown-red flowers),,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Leverantörsnotering: Brown-red flowers.,,,,,,,,,,,5.11,EUR,1,,,,Echidnopsis cereiformis (Brown-red flowers),,60,5.11,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-017,Huernia,hystrix,,Huernia hystrix,H. hystrix — cristat form,Huernia hystrix f. cristata,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,7.95,EUR,1,,,,Huernia hystrix f. cristata,,93,7.95,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-007,Huernia,keniensis,var. nairobiensis,Huernia keniensis var. nairobiensis,H. keniensis var. nairobiensis,Huernia keniensis var. nairobiensis,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,5.45,EUR,1,,,,Huernia keniensis var. nairobiensis,,63,5.45,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-012,Huernia,laevis,,Huernia laevis,H. laevis — Harras,Huernia laevis f.ma. Harras,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Formangivelsen är bevarad exakt från leverantören.,,,,,,,,,,,6.14,EUR,1,,,,Huernia laevis f.ma. Harras,,72,6.14,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-035,Huernia,macrocarpa,,Huernia macrocarpa,H. macrocarpa,Huernia macrocarpa,,,,Cactus Art,,Gåva,,,,,,,,,,,nej,,Gåva / bonusplanta,,,,,,,,,,,,,,,,,Huernia macrocarpa,,,,,,
STA-001,Huernia,rosea,,Huernia rosea,H. rosea — RH230,Huernia rosea RH230 East Al Mayaraba Harar Mt. Yemen,RH230,East Al-Magraba · Haraz Mountains · Yemen,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Accession RH230. Lokalitet enligt Cactus Arts separata artsida; leverantörens ursprungliga inköpsnamn är bevarat separat.,,,,,,,,,,,7.16,EUR,1,,,,Huernia rosea RH230 East Al Mayaraba Harar Mt. Yemen,,83,7.16,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-006,Huernia,× pendurata,,Huernia × pendurata,H. × pendurata,Huernia pendurata,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Käll-/leverantörsuppgift: materialet anges traditionellt som Huernia hystrix × H. pendula; detta är inte en säker taxonomisk ombestämning.,,,,,,,,,,,3.41,EUR,1,,,,Huernia pendurata,,40,3.41,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-034,Huernia,,,Huernia ‘Pink Eye’,H. ‘Pink Eye’,Huernia cv. PINK EYE,,,,Cactus Art,,Gåva,,,,,,,,,,,nej,,Gåva / bonusplanta,,,,,,,,,,,,,,,,,Huernia cv. PINK EYE,,,,,,
STA-016,Orbea,deflersiana,,Orbea deflersiana,O. deflersiana — Clone B,Pachycymbium deflersiana CLONE B ocher & purple (Orbea deflersiana),,,Orbea deflersiana,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Leverantörsuppgift/synonym: Orbea deflersiana. Klon B; ocher & purple.,,,,,,,,,,,6.14,EUR,1,,,,Pachycymbium deflersiana CLONE B ocher & purple (Orbea deflersiana),,72,6.14,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-009,Orbea,hardyi,,Orbea hardyi,O. hardyi,Orbeanthus hardyi (Stapelianthus hardyi),,,Stapelianthus hardyi,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Leverantörsuppgift/synonym: Stapelianthus hardyi.,,,,,,,,,,,6.14,EUR,1,,,,Orbeanthus hardyi (Stapelianthus hardyi),,72,6.14,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-010,Orbea,lutea,,Orbea lutea,O. lutea,Caralluma lutea,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,8.53,EUR,1,,,,Caralluma lutea,,99,8.53,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-020,Orbea,mcloughlinii × Orbea variegata,,Orbea mcloughlinii × Orbea variegata,O. mcloughlinii × O. variegata,Orbea speciosa × variagata,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Korsningsnamn och stavning är bevarade exakt från leverantören.,,,,,,,,,,,6.14,EUR,1,,,,Orbea speciosa × variagata,,72,6.14,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-019,Orbea,semota,,Orbea semota,O. semota — lutea-form,Orbea semota v. lutea,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,13.64,EUR,1,,,,Orbea semota v. lutea,,159,13.64,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-015,Orbea,sp.,'Cypro',Orbea sp. 'Cypro',O. sp. 'Cypro',Orbea sp. Cypro,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,'Cypro' behandlas tills vidare som odlingsbeteckning; leverantörens ursprungliga inköpsnamn är bevarat separat.,,,,,,,,,,,5.11,EUR,1,,,,Orbea sp. Cypro,,60,5.11,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-032,Piaranthus,geminatus,subsp. geminatus,Piaranthus geminatus subsp. geminatus,P. geminatus — foetidus,Piaranthus geminatus v. foetidus (Dysseldorp),,Dysseldorp,,SuccSeed,278352062,Stickling,,,,,Planterad,,,,,,nej,,,,,,,bilder/stapeliader/STA-032_2026-09-03_hel.jpg,72.4004,49.9509,2026-09-09T10:44:21.542Z,,,45,SEK,,,,,Piaranthus geminatus v. foetidus (Dysseldorp),,,45,,,
STA-002,Piaranthus,geminatus,subsp. geminatus,Piaranthus geminatus subsp. geminatus,P. geminatus — globosus,Piaranthus globosus,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,4.09,EUR,1,,,,Piaranthus globosus,,48,4.09,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-018,Piaranthus,punctatus,var. framesii,Piaranthus punctatus var. framesii,P. punctatus var. framesii,Piaranthus framesii,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,7.95,EUR,1,,,,Piaranthus framesii,,93,7.95,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-004,Stapelianthus,decaryi,,Stapelianthus decaryi,S. decaryi,Stapelianthus decaryi,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,5.11,EUR,1,,,,Stapelianthus decaryi,,60,5.11,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-008,Stapelia,divaricata,,Stapelia divaricata,S. divaricata,Stapelia divaricata Swelledam,,Buffeljachte · Swellendam · Cape Province · South Africa,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Lokalitet enligt kontrollerad uppgift; leverantörens ursprungliga stavning är bevarad i inköpsnamnet.,,,,,,,,,,,4.71,EUR,1,,,,Stapelia divaricata Swelledam,,55,4.71,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-003,Stapelia,grandiflora,,Stapelia grandiflora,S. grandiflora,Stapelia grandiflora,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,,,,,,,,,,,,4.55,EUR,1,,,,Stapelia grandiflora,,53,4.55,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-013,Stapelia,schinzii,var. bergeriana,Stapelia schinzii var. bergeriana,S. schinzii var. bergeriana,Stapelia bergeriana (Stapelia schinzii var. bergeriana),,,Stapelia schinzii var. bergeriana,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Leverantörsuppgift/synonym: Stapelia schinzii var. bergeriana.,,,,,,,,,,,10.23,EUR,1,,,,Stapelia bergeriana (Stapelia schinzii var. bergeriana),,119,10.23,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
STA-014,× Tavarorbea,,,× Tavarorbea ‘Red Leopard’,× Tavarorbea ‘Red Leopard’,Tavarorbea cv. Red Leopard,,,,Cactus Art,20451,Stickling,2026-09-03,,,,,,,,,,nej,,Leverantörs-/historisk uppgift: Tavaresia barklyi × Orbea variegata; parentaget är inte verifierat här.,,,,,,,,,,,8.53,EUR,1,,,,Tavarorbea cv. Red Leopard,,99,8.53,11.65,"PayPal-kurs för order 20451: 153,39 EUR = 1 787,54 SEK.",Frakt och andra orderavgifter är inte fördelade på plantorna.
