plant_id,date,type,file,label
STA-001,2026-09-03,ref,bilder/stapeliader/STA-001_2026-09-03_hel.jpg,2026-09-03 · ref
STA-002,2026-09-03,ref,bilder/stapeliader/STA-002_2026-09-03_hel.jpg,2026-09-03 · ref
STA-003,2026-09-03,ref,bilder/stapeliader/STA-003_2026-09-03_hel.jpg,2026-09-03 · ref
STA-004,2026-09-03,ref,bilder/stapeliader/STA-004_2026-09-03_hel.jpg,2026-09-03 · ref
STA-005,2026-09-03,ref,bilder/stapeliader/STA-005_2026-09-03_hel.jpg,2026-09-03 · ref
STA-006,2026-09-03,ref,bilder/stapeliader/STA-006_2026-09-03_hel.jpg,2026-09-03 · ref
STA-007,2026-09-03,ref,bilder/stapeliader/STA-007_2026-09-03_hel.jpg,2026-09-03 · ref
STA-008,2026-09-03,ref,bilder/stapeliader/STA-008_2026-09-03_hel.jpg,2026-09-03 · ref
STA-009,2026-09-03,ref,bilder/stapeliader/STA-009_2026-09-03_hel.jpg,2026-09-03 · ref
STA-010,2026-09-03,ref,bilder/stapeliader/STA-010_2026-09-03_hel.jpg,2026-09-03 · ref
STA-011,2026-09-03,ref,bilder/stapeliader/STA-011_2026-09-03_hel.jpg,2026-09-03 · ref
STA-012,2026-09-03,ref,bilder/stapeliader/STA-012_2026-09-03_hel.jpg,2026-09-03 · ref
STA-013,2026-09-03,ref,bilder/stapeliader/STA-013_2026-09-03_hel.jpg,2026-09-03 · ref
STA-014,2026-09-03,ref,bilder/stapeliader/STA-014_2026-09-03_hel.jpg,2026-09-03 · ref
STA-015,2026-09-03,ref,bilder/stapeliader/STA-015_2026-09-03_hel.jpg,2026-09-03 · ref
STA-016,2026-09-03,ref,bilder/stapeliader/STA-016_2026-09-03_hel.jpg,2026-09-03 · ref
STA-017,2026-09-03,ref,bilder/stapeliader/STA-017_2026-09-03_hel.jpg,2026-09-03 · ref
STA-018,2026-09-03,ref,bilder/stapeliader/STA-018_2026-09-03_hel.jpg,2026-09-03 · ref
STA-019,2026-09-03,ref,bilder/stapeliader/STA-019_2026-09-03_hel.jpg,2026-09-03 · ref
STA-020,2026-09-03,ref,bilder/stapeliader/STA-020_2026-09-03_hel.jpg,2026-09-03 · ref
STA-021,2026-09-03,ref,bilder/stapeliader/STA-021_2026-09-03_hel.jpg,2026-09-03 · ref
STA-021,2026-09-03,ref,bilder/stapeliader/STA-031_2026-09-03_hel.webp,2026-09-03 · ref
STA-022,2026-09-03,ref,bilder/stapeliader/STA-022_2026-09-03_hel.jpg,2026-09-03 · ref
STA-023,2026-09-03,ref,bilder/stapeliader/STA-023_2026-09-03_hel.jpg,2026-09-03 · ref
STA-024,2026-09-03,ref,bilder/stapeliader/STA-024_2026-09-03_hel.jpg,2026-09-03 · ref
STA-025,2026-09-03,ref,bilder/stapeliader/STA-025_2026-09-03_hel.jpg,2026-09-03 · ref
STA-026,2026-09-03,ref,bilder/stapeliader/STA-026_2026-09-03_hel.jpg,2026-09-03 · ref
STA-027,2026-09-03,ref,bilder/stapeliader/STA-027_2026-09-03_hel.jpg,2026-09-03 · ref
STA-028,2026-09-03,ref,bilder/stapeliader/STA-028_2026-09-03_hel.jpg,2026-09-03 · ref
STA-029,2026-09-03,ref,bilder/stapeliader/STA-029_2026-09-03_hel.webp,2026-09-03 · ref
STA-030,2026-09-03,ref,bilder/stapeliader/STA-030_2026-09-03_hel.webp,2026-09-03 · ref
STA-032,2026-09-03,ref,bilder/stapeliader/STA-032_2026-09-03_hel.jpg,2026-09-03 · ref
