id,name,latin,type,tags,status,source,notes,card_note,card_note_updated_at,arrival_type,start_date,cuttings_available,cuttings_updated_at,card_image,card_crop_x,card_crop_y,card_image_updated_at,record_kind,collection_id,specimen_count,supplier,seller,purchase_name,order_number,article_number,purchase_date,arrival_date,purchase_price_sek,purchase_price_original,purchase_currency,purchase_exchange_rate,purchase_exchange_rate_note,purchase_note
SP-006,Fredskalla,Spathiphyllum wallisii,Krukväxt,,Aktiv,,,,,,,,,,,,,GROUP,,2,,,,,,,,,,,,,
SP-005,Hjärtbräken,Hemionitis arifolia,Krukväxt,,Aktiv,,,,2026-08-27T17:03:05.679Z,Gåva,,,,,,,,,,,,,,,,,,,,,,,
SP-002,Patchouli,Pogostemon cablin,Doftväxt,Frö,Aktiv,,,,,Frö,,,,,,,,GROUP,,,,,,,,,,,,,,,
SP-010,Patchouli,Pogostemon cablin,Doftväxt,Frö,Bortgiven,,,Till Stefan,2026-08-27T15:55:57.104Z,Frö,,,,,,,,INDIVIDUAL,SP-002,,,,,,,,,,,,,,
SP-009,Pillerfikus,Ficus deltoidea,,,Bortgiven,Blomsterlandet,,Till Elin,2026-08-27T15:56:02.898Z,Köpt planta,2026-08-13,,,,,,,,,,,,,,,,,,,,,,
SP-004,Plumeria,Plumeria spp.,Krukväxt,,Aktiv,,,Tog in,2026-08-27T16:07:16.900Z,Frö,,,,bilder/udda/SP-004_plumeria_2026-06-27_hel.jpg,46.4043,26.5085,2026-08-14T16:12:44.763Z,,,,,,,,,,,,,,,,
SP-003,Salvia apiana,Salvia apiana,Doftväxt,Frö,Under uppdragning,,,,,Frö,,,,,,,,,,,,,,,,,,,,,,,
SP-001,Stapelia mix,Stapelia spp.,Krukväxt,Frö,Aktiv,,,,,Frö,,,,bilder/udda/SP-001_synk-e1900dea6f_2026-07-17_hel.jpg,57.483,12.4812,2026-08-14T16:12:21.818Z,GROUP,,,,,,,,,,,,,,,
SP-008,The Monster,Cyphomandra betacea,Krukväxt,Frö,,Jalapeno.nu,,En anteckning,2026-08-20T15:08:20.844Z,Frö,2025-11-16,,,,,,,,,,,,,,,,,,,,,,
SP-011,Vippjasmin,Jasminum polyanthum,,,,Blomsterlandet,,,,Köpt planta,2026-05-08,,,bilder/udda/SP-011_synk-ca92cff2f5_2026-08-27_hel.jpg,62.8999,50,2026-08-27T15:50:39.197Z,,,,,,,,,,,,,,,,
SP-007,Ödesträd,Clerodendrum thomsoniae,Krukväxt,,Aktiv,Tradera,,,,,,,,,,,,,,,,,,,,,,,,,,,
