plant_id,date,type,file,label
SP-001,2026-06-26,hel,bilder/udda/SP-001_stapelia_2026-06-26_hel.jpg,2026-06-26 · hel
SP-001,2026-07-17,hel,bilder/udda/SP-001_synk-e1900dea6f_2026-07-17_hel.jpg,2026-07-17 · hel
SP-002,2026-06-26,hel,bilder/udda/SP-002_patchouli_2026-06-26_hel.jpg,2026-06-26 · hel
SP-002,2026-08-06,beskuren,bilder/udda/SP-002_synk-e7e37e0e4b_2026-08-06_beskuren.jpg,2026-08-06 · beskuren
SP-003,2026-06-25,hel,bilder/udda/SP-003_salvia_apiana_2026-06-25_hel.jpg,2026-06-25 · hel
SP-003,2026-08-11,omplanterad,bilder/udda/SP-003_synk-f684bdb6dc_2026-08-11_omplanterad.jpg,2026-08-11 · omplanterad
SP-004,2026-06-27,hel,bilder/udda/SP-004_plumeria_2026-06-27_hel.jpg,2026-06-27 · hel
SP-005,2026-06-26,hel,bilder/udda/SP-005_hjartbraken_2026-06-26_hel.jpg,2026-06-26 · hel
SP-006,2026-07-01,hel,bilder/udda/SP-006_fredskalla_2026-07-01_hel.jpg,2026-07-01 · hel
SP-007,2026-08-02,hel,bilder/udda/SP-007_odestrad_2026-08-02_hel.jpg,2026-08-02 · hel
SP-008,2026-06-27,omplanterad,bilder/udda/SP-008_synk-255feca870_2026-06-27_omplanterad.jpg,2026-06-27 · omplanterad
SP-008,2026-07-19,detalj,bilder/udda/SP-008_synk-829691f1df_2026-07-19_detalj.jpg,2026-07-19 · detalj
SP-008,2026-08-10,detalj,bilder/udda/SP-008_synk-220c4880f7_2026-08-10_detalj.jpg,2026-08-10 · detalj
SP-008,2026-08-10,hel,bilder/udda/SP-008_synk-95dd650246_2026-08-10_hel.jpg,2026-08-10 · hel
SP-009,2026-08-13,detalj,bilder/udda/SP-009_synk-18ea339e05_2026-08-13_detalj.jpg,2026-08-13 · detalj
SP-009,2026-08-13,hel,bilder/udda/SP-009_synk-9cd9cc3e6e_2026-08-13_hel.jpg,2026-08-13 · hel
